e_changed_log_length,e_changed_loc_,e_loc_,e_chang_count_,e_bug_count_,m_MinEssentialKnots,m_CountDeclInstanceVariablePublic,m_AvgLineCode,m_MaxCyclomatic,m_SumEssential,m_SumCyclomatic,m_AvgLine,m_CountLineBlank,m_AvgCyclomatic,m_CountDeclMethodDefault,m_AvgCyclomaticStrict,m_AvgCyclomaticModified,m_SumCyclomaticStrict,m_CountStmtDecl,m_AvgEssential,m_CountLineInactive,m_AvgLineBlank,m_AvgLineComment,m_CountLineCodeExe,m_CountLineComment,m_MaxCyclomaticStrict,m_CountLinePreprocessor,m_MaxEssentialKnots,m_CountLineCode,m_CountSemicolon,m_CountStmtExe,m_MaxCyclomaticModified,m_CountLineCodeDecl,m_CountDeclFunction,m_CountLine,m_CountDeclMethodFriend,m_Knots,m_CountDeclMethodConst,m_CountDeclInstanceVariablePrivate,m_CountDeclClass,m_CountStmt,m_SumCyclomaticModified,m_CountDeclInstanceVariableProtected,md_MaxCyclomatic,md_SumEssential,md_SumCyclomatic,md_CountLineBlank,md_AvgCyclomatic,md_AvgCyclomaticStrict,md_AvgCyclomaticModified,md_SumCyclomaticStrict,md_CountStmtDecl,md_CountLineCodeExe,md_CountLineComment,md_MaxCyclomaticStrict,md_CountLineCode,md_CountStmtExe,md_MaxCyclomaticModified,md_CountLineCodeDecl,md_CountDeclFunction,md_CountLine,md_CountDeclClass,md_CountStmt,md_SumCyclomaticModified,_class_
38,2,193,6,3,-1,-1,0,1,6,6,0,38,1,0,1,1,6,15,0,-1,0,0,27,91,1,-1,-1,70,-1,23,1,36,6,193,-1,-1,-1,-1,1,38,6,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
23,13,216,10,3,-1,-1,0,6,16,21,0,43,1,0,1,1,22,29,0,-1,0,0,77,34,7,-1,-1,139,-1,42,6,43,14,216,-1,-1,-1,-1,1,71,21,-1,0,0,0,-3,0,0,0,0,-2,0,0,0,-2,0,0,-2,0,-5,0,-2,0,N
61,30,341,8,1,-1,-1,0,6,16,25,0,80,1,0,1,1,25,47,0,-1,0,0,75,94,6,-1,-1,167,-1,65,6,68,13,341,-1,-1,-1,-1,1,112,25,-1,-1,0,-1,-3,-1,-1,-1,-1,-1,-3,0,-1,-5,-3,-1,-1,0,-8,0,-4,-1,N
51,87,203,9,4,-1,-1,0,9,12,25,0,22,3,0,4,3,33,26,0,-1,0,0,67,62,13,-1,-1,123,-1,55,9,35,7,203,-1,-1,-1,-1,2,81,25,-1,0,4,13,8,-1,-1,-1,16,16,39,5,0,67,32,0,18,4,77,1,48,13,N
51,2,341,9,1,-1,-1,0,6,16,25,0,80,1,0,1,1,25,47,0,-1,0,0,75,94,6,-1,-1,167,-1,65,6,68,13,341,-1,-1,-1,-1,1,112,25,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
23,25,518,5,3,-1,-1,0,8,6,23,0,87,3,0,3,3,23,46,0,-1,0,0,258,66,8,-1,-1,365,-1,197,8,87,6,518,-1,-1,-1,-1,1,243,23,-1,0,0,0,-3,0,0,0,0,0,-6,0,0,-6,-4,0,0,0,-9,0,-4,0,N
48,42,258,9,8,-1,-1,0,4,4,8,0,50,2,0,2,2,8,29,0,-1,0,0,120,41,4,-1,-1,169,-1,81,4,41,4,258,-1,-1,-1,-1,1,110,8,-1,1,0,1,0,1,1,1,1,0,-7,-1,1,-13,-4,1,-6,0,-14,0,-4,1,Y
29,58,278,7,2,-1,-1,0,15,5,26,0,43,5,0,5,5,29,43,0,-1,0,0,126,26,18,-1,-1,208,-1,90,15,67,5,277,-1,-1,-1,-1,1,133,26,-1,0,0,0,0,0,0,0,0,0,21,-5,0,25,0,0,4,0,20,0,0,0,N
76,95,233,8,2,-1,-1,0,15,5,20,0,37,4,0,4,4,23,31,0,-1,0,0,114,17,18,-1,-1,179,-1,77,15,55,5,233,-1,-1,-1,-1,2,108,20,-1,0,0,-6,-6,-1,-1,-1,-6,-12,-12,-9,0,-29,-13,0,-12,0,-44,1,-25,-6,Y
64,1,204,10,4,-1,-1,0,9,12,25,0,22,3,0,4,3,33,26,0,-1,0,0,68,62,13,-1,-1,124,-1,56,9,35,7,204,-1,-1,-1,-1,2,82,25,-1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,N
23,24,132,6,2,-1,-1,0,3,5,7,0,15,1,0,1,1,7,18,0,-1,0,0,53,19,3,-1,-1,98,-1,39,3,29,5,132,-1,-1,-1,-1,1,57,7,-1,0,0,0,-1,0,0,0,0,0,12,-3,0,12,0,0,0,0,8,0,0,0,N
78,11,242,9,3,-1,-1,0,17,8,22,0,38,4,0,5,4,25,33,0,-1,0,0,119,17,20,-1,-1,187,-1,82,17,56,5,242,-1,-1,-1,-1,2,115,22,-1,2,3,2,1,0,1,0,2,2,5,0,2,8,5,2,1,0,9,0,7,2,N
27,29,109,4,2,-1,-1,0,3,4,7,0,13,1,0,1,1,7,15,0,-1,0,0,35,15,3,-1,-1,81,-1,26,3,38,4,109,-1,-1,-1,-1,1,41,7,-1,0,0,0,-3,0,0,0,0,0,5,-3,0,8,0,0,2,0,2,0,0,0,N
30,9,213,11,4,-1,-1,0,9,12,28,0,22,4,0,5,4,36,26,0,-1,0,0,74,62,13,-1,-1,133,-1,62,9,35,7,213,-1,-1,-1,-1,2,88,28,-1,0,0,3,0,1,1,1,3,0,6,0,0,9,6,0,0,0,9,0,6,3,Y
62,20,561,7,1,-1,-1,0,8,25,52,0,149,3,0,3,3,53,83,0,-1,0,0,140,135,9,-1,-1,277,-1,130,8,90,16,561,-1,-1,-1,-1,1,213,52,-1,1,0,4,-1,0,0,0,4,0,4,0,1,10,4,1,1,0,9,0,4,4,N
64,23,193,10,5,-1,-1,0,14,14,28,0,32,3,0,3,3,31,28,0,-1,0,0,61,39,14,-1,-1,122,-1,57,14,37,8,193,-1,-1,-1,-1,1,85,28,-1,3,0,4,0,0,0,0,4,0,4,0,3,9,4,3,1,0,9,0,4,4,N
24,2,213,12,5,-1,-1,0,9,12,28,0,22,4,0,5,4,36,26,0,-1,0,0,74,62,13,-1,-1,133,-1,62,9,35,7,213,-1,-1,-1,-1,2,88,28,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
64,22,88,5,0,-1,-1,0,9,5,10,0,9,5,0,5,5,11,8,0,-1,0,0,27,26,10,-1,-1,53,-1,20,9,15,2,88,-1,-1,-1,-1,1,28,10,-1,3,0,3,-3,2,1,2,3,0,3,0,3,9,3,3,1,0,6,0,3,3,N
23,2,130,7,2,-1,-1,0,3,5,7,0,15,1,0,1,1,7,18,0,-1,0,0,53,18,3,-1,-1,97,-1,39,3,28,5,130,-1,-1,-1,-1,1,57,7,-1,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,-1,0,-2,0,0,0,N
99,9,136,3,3,-1,-1,0,3,5,7,0,14,1,0,1,1,7,15,0,-1,0,0,41,32,3,-1,-1,90,-1,34,3,33,5,136,-1,-1,-1,-1,1,49,7,-1,0,0,0,0,0,0,0,0,0,4,1,0,6,0,0,2,0,7,0,0,0,Y
99,11,195,3,3,-1,-1,0,6,5,14,0,42,2,0,2,2,14,24,0,-1,0,0,76,16,6,-1,-1,137,-1,71,6,41,5,195,-1,-1,-1,-1,1,95,14,-1,0,0,0,0,0,0,0,0,0,4,1,0,6,0,0,2,0,7,0,0,0,Y
99,20,328,21,9,-1,-1,0,6,7,18,0,64,2,0,1,2,13,33,0,-1,0,0,117,69,6,-1,-1,200,-1,79,6,68,7,328,-1,-1,-1,-1,1,112,14,-1,0,0,0,0,0,0,0,0,0,4,1,0,5,0,0,1,0,6,0,0,0,Y
99,107,277,10,9,-1,-1,0,4,4,8,0,50,2,0,2,2,8,29,0,-1,0,0,133,41,4,-1,-1,188,-1,81,4,47,4,277,-1,-1,-1,-1,1,110,8,-1,0,0,0,0,0,0,0,0,0,13,0,0,19,0,0,6,0,19,0,0,0,Y
99,2,431,2,2,-1,-1,0,8,8,18,0,95,2,0,2,2,18,44,0,-1,0,0,164,77,8,-1,-1,261,-1,139,8,84,8,431,-1,-1,-1,-1,2,183,18,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
85,25,223,4,4,-1,-1,0,2,3,4,0,31,1,0,1,1,4,18,0,-1,0,0,67,89,2,-1,-1,102,-1,41,2,31,3,222,-1,-1,-1,-1,1,59,4,-1,0,0,0,-2,0,0,0,0,-3,-18,-2,0,-21,-13,0,-3,0,-25,0,-16,0,N
23,14,84,3,0,-1,-1,0,5,4,8,0,18,2,0,2,2,8,7,0,-1,0,0,18,28,5,-1,-1,38,-1,16,5,13,4,84,-1,-1,-1,-1,1,23,8,-1,0,0,0,-7,0,0,0,0,-2,-2,-3,0,-4,-2,0,-2,0,-14,0,-4,0,N
23,29,242,1,0,-1,-1,0,5,6,11,0,46,1,0,1,1,11,22,0,-1,0,0,94,36,5,-1,-1,160,-1,81,5,40,6,242,-1,-1,-1,-1,1,103,11,-1,0,0,0,-1,0,0,0,0,1,12,0,0,14,0,0,2,0,13,0,1,0,N
80,65,220,13,5,-1,-1,0,9,13,31,0,24,3,0,5,3,40,33,0,-1,0,0,69,62,13,-1,-1,138,-1,60,9,41,8,220,-1,-1,-1,-1,2,93,31,-1,0,1,3,2,-1,0,-1,4,7,-5,0,0,5,-2,0,6,1,7,0,5,3,N
93,3,285,5,1,-1,-1,0,6,28,42,0,88,1,0,1,1,43,47,0,-1,0,0,81,20,6,-1,-1,176,-1,74,6,58,24,284,-1,-1,-1,-1,1,121,42,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,N
93,149,367,21,14,-1,-1,0,7,30,38,0,91,1,0,1,1,38,45,0,-1,0,0,62,119,7,-1,-1,161,-1,57,7,66,30,367,-1,-1,-1,-1,1,102,38,-1,0,-1,-1,-43,0,0,0,-1,0,2,-87,0,-1,-1,0,-2,-1,-131,0,-1,-1,N
93,5,351,10,6,-1,-1,0,7,32,51,0,81,2,0,2,2,51,48,0,-1,0,0,109,54,7,-1,-1,216,-1,102,7,69,22,350,-1,-1,-1,-1,1,150,51,-1,0,1,1,1,0,0,0,1,1,1,0,0,4,1,0,1,1,5,0,2,1,Y
93,23,255,8,3,-1,-1,0,5,15,27,0,69,1,0,1,1,28,42,0,-1,0,0,71,30,6,-1,-1,155,-1,64,5,61,15,254,-1,-1,-1,-1,1,106,27,-1,0,0,0,4,0,0,0,0,0,-1,7,0,0,0,0,0,0,11,0,0,0,Y
93,20,192,4,3,-1,-1,0,7,11,25,0,49,2,0,3,2,27,26,0,-1,0,0,62,18,7,-1,-1,124,-1,56,7,42,9,191,-1,-1,-1,-1,1,82,25,-1,0,0,0,-1,0,0,0,0,0,-4,-3,0,-2,-3,0,0,0,-6,0,-3,0,Y
36,5,299,16,6,-1,-1,0,4,14,20,0,78,1,0,1,1,20,30,0,-1,0,0,72,73,4,-1,-1,147,-1,61,4,58,14,298,-1,-1,-1,-1,1,91,20,-1,0,0,-1,1,0,0,0,-1,0,-1,1,0,-1,-1,0,0,0,1,0,-1,-1,Y
42,109,387,9,5,-1,-1,0,7,6,17,0,71,2,0,2,2,17,52,0,-1,0,0,183,28,7,-1,-1,288,-1,125,7,90,6,387,-1,-1,-1,-1,1,177,17,-1,0,-4,-5,-7,0,0,0,-5,-10,-15,0,0,-68,-12,0,-46,-4,-75,-2,-22,-5,N
31,28,100,4,4,-1,-1,0,4,11,12,0,16,1,0,1,1,12,14,0,-1,0,0,17,17,4,-1,-1,67,-1,17,4,28,8,100,-1,-1,-1,-1,1,31,12,-1,0,0,-1,-10,0,0,0,-1,0,-3,0,0,4,-2,0,7,0,-6,0,-2,-1,Y
31,2,387,10,5,-1,-1,0,7,6,17,0,71,2,0,2,2,17,52,0,-1,0,0,183,28,7,-1,-1,288,-1,125,7,90,6,387,-1,-1,-1,-1,1,177,17,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
64,33,245,2,1,-1,-1,0,12,12,34,0,61,2,0,2,2,34,29,0,-1,0,0,71,42,12,-1,-1,142,-1,67,12,45,12,245,-1,-1,-1,-1,1,96,34,-1,3,0,7,0,0,0,0,7,0,7,0,3,15,7,3,1,0,15,0,7,7,Y
64,16,213,6,1,-1,-1,0,2,22,24,0,46,1,0,1,1,24,32,0,-1,0,0,38,66,2,-1,-1,101,-1,38,2,43,22,213,-1,-1,-1,-1,1,70,24,-1,0,0,1,1,0,0,0,1,0,1,0,0,-1,1,0,-3,0,0,0,1,1,N
23,66,371,10,5,-1,-1,0,7,7,16,0,81,2,0,2,2,16,42,0,-1,0,0,151,65,7,-1,-1,227,-1,134,7,65,7,371,-1,-1,-1,-1,1,176,16,-1,-1,-1,-2,-10,0,0,0,-2,-1,-10,-6,-1,-30,-6,-1,-18,-1,-46,-1,-7,-2,Y
23,8,157,8,5,-1,-1,0,3,5,8,0,25,1,0,1,1,8,11,0,-1,0,0,45,37,3,-1,-1,95,-1,15,3,42,5,157,-1,-1,-1,-1,1,26,8,-1,1,0,1,1,0,0,0,1,0,1,0,1,3,1,1,1,0,4,0,1,1,Y
23,18,596,28,14,-1,-1,0,9,33,45,0,142,1,0,1,1,41,74,0,-1,0,0,96,201,6,-1,-1,253,-1,86,6,104,26,596,-1,-1,-1,-1,1,160,42,-1,1,0,3,1,0,0,0,3,0,3,0,2,8,3,1,1,0,9,0,3,3,N
23,5,225,3,1,-1,-1,0,9,3,14,0,37,4,0,5,4,15,21,0,-1,0,0,62,31,10,-1,-1,164,-1,60,9,89,3,224,-1,-1,-1,-1,1,81,14,-1,-1,0,-1,0,-1,0,-1,-1,0,-3,0,-1,-3,-2,-1,0,0,-3,0,-2,-1,N
23,5,61,4,1,-1,-1,0,2,3,5,0,14,1,0,1,1,5,5,0,-1,0,0,11,18,2,-1,-1,29,-1,11,2,11,3,61,-1,-1,-1,-1,1,16,5,-1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,N
23,5,139,3,1,-1,-1,0,11,3,22,0,35,7,0,7,7,22,17,0,-1,0,0,47,15,11,-1,-1,89,-1,53,11,24,3,139,-1,-1,-1,-1,1,70,22,-1,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,-3,0,0,0,N
23,2,171,7,4,-1,-1,0,4,5,9,0,36,1,0,1,1,9,22,0,-1,0,0,33,46,4,-1,-1,89,-1,23,4,45,5,171,-1,-1,-1,-1,1,45,9,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N
23,2,112,6,3,-1,-1,0,4,3,6,0,22,2,0,2,2,6,14,0,-1,0,0,21,32,4,-1,-1,58,-1,15,4,31,3,112,-1,-1,-1,-1,1,29,6,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y
23,11,133,6,2,-1,-1,0,9,7,11,0,21,3,0,3,3,11,15,0,-1,0,0,34,35,9,-1,-1,77,-1,26,9,34,3,133,-1,-1,-1,-1,1,41,11,-1,0,0,0,-2,0,0,0,0,0,0,-7,0,0,0,0,0,0,-9,0,0,0,N
23,54,222,4,3,-1,-1,0,3,7,9,0,48,1,0,1,1,9,27,0,-1,0,0,68,52,3,-1,-1,124,-1,62,3,47,7,222,-1,-1,-1,-1,1,89,9,-1,0,-2,-3,-12,0,0,0,-3,-6,-12,0,0,-28,-9,0,-13,-2,-40,-1,-15,-3,N
51,11,366,11,6,-1,-1,0,7,7,16,0,80,2,0,2,2,16,41,0,-1,0,0,148,65,7,-1,-1,223,-1,131,7,64,7,366,-1,-1,-1,-1,1,172,16,-1,0,0,0,-1,0,0,0,0,-1,-3,0,0,-4,-3,0,-1,0,-5,0,-4,0,Y
18,4,226,5,3,-1,-1,0,3,7,9,0,48,1,0,1,1,9,27,0,-1,0,0,71,52,3,-1,-1,128,-1,63,3,48,7,226,-1,-1,-1,-1,1,90,9,-1,0,0,0,0,0,0,0,0,0,3,0,0,4,1,0,1,0,4,0,1,0,Y
33,6,102,5,5,-1,-1,0,4,11,13,0,16,1,0,1,1,13,14,0,-1,0,0,18,17,4,-1,-1,69,-1,18,4,28,8,102,-1,-1,-1,-1,1,32,13,-1,0,0,1,0,0,0,0,1,0,1,0,0,2,1,0,0,0,2,0,1,1,Y
33,50,45,5,1,-1,-1,0,1,2,2,0,5,1,0,1,1,2,5,0,-1,0,0,8,15,1,-1,-1,25,-1,8,1,14,2,45,-1,-1,-1,-1,1,13,2,-1,0,0,0,-9,0,0,0,0,-1,-23,-2,0,-31,-8,0,-8,0,-42,0,-9,0,N
33,46,399,3,2,-1,-1,0,7,7,16,0,95,2,0,2,2,16,43,0,-1,0,0,153,76,7,-1,-1,230,-1,135,7,66,7,399,-1,-1,-1,-1,1,178,16,-1,-1,-1,-2,0,0,0,0,-2,-1,-11,-1,-1,-31,-4,-1,-18,-1,-32,-1,-5,-2,Y
33,47,46,2,1,-1,-1,0,1,2,2,0,6,1,0,1,1,2,5,0,-1,0,0,8,15,1,-1,-1,25,-1,8,1,14,2,46,-1,-1,-1,-1,1,13,2,-1,0,0,0,-8,0,0,0,0,-1,-17,-2,0,-25,-8,0,-8,0,-35,0,-9,0,N
48,55,303,7,5,-1,-1,0,7,18,37,0,51,2,0,2,2,38,41,0,-1,0,0,99,62,8,-1,-1,194,-1,80,7,63,18,303,-1,-1,-1,-1,1,121,37,-1,0,0,0,0,0,0,0,0,0,0,-33,0,0,0,0,0,0,-33,0,0,0,N
104,4,305,8,5,-1,-1,0,7,18,37,0,52,2,0,2,2,38,41,0,-1,0,0,99,62,8,-1,-1,195,-1,80,7,64,18,305,-1,-1,-1,-1,1,121,37,-1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,Y
23,60,386,13,4,-1,-1,0,10,8,20,0,62,2,0,2,2,20,40,0,-1,0,0,147,104,10,-1,-1,238,-1,124,10,70,8,386,-1,-1,-1,-1,1,164,20,-1,0,-3,-3,-3,0,0,0,-3,-5,-13,-1,0,-46,-7,0,-29,-3,-50,-2,-12,-3,Y
23,3,44,6,1,-1,-1,0,1,2,2,0,5,1,0,1,1,2,4,0,-1,0,0,8,15,1,-1,-1,24,-1,8,1,13,2,44,-1,-1,-1,-1,1,12,2,-1,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,-1,0,-1,0,-1,0,N
23,44,144,2,2,-1,-1,0,4,5,9,0,30,1,0,1,1,9,20,0,-1,0,0,47,17,4,-1,-1,99,-1,35,4,43,5,144,-1,-1,-1,-1,1,55,9,-1,0,-1,-1,-3,0,0,0,-1,-1,-11,-1,0,-26,-2,0,-14,-1,-30,-1,-3,-1,Y
23,3,45,3,1,-1,-1,0,1,2,2,0,6,1,0,1,1,2,4,0,-1,0,0,8,15,1,-1,-1,24,-1,8,1,13,2,45,-1,-1,-1,-1,1,12,2,-1,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,-1,0,-1,0,-1,0,N
30,9,323,22,10,-1,-1,0,6,7,18,0,64,2,0,1,2,13,33,0,-1,0,0,113,68,6,-1,-1,196,-1,79,6,68,7,323,-1,-1,-1,-1,1,112,14,-1,0,0,0,0,0,0,0,0,0,-4,-1,0,-4,0,0,0,0,-5,0,0,0,N
30,6,85,4,1,-1,-1,0,3,8,9,0,11,1,0,1,1,9,9,0,-1,0,0,14,31,3,-1,-1,45,-1,13,3,17,6,85,-1,-1,-1,-1,1,22,9,-1,0,0,0,-1,0,0,0,0,0,0,-5,0,0,0,0,0,0,-6,0,0,0,N
33,30,60,4,3,-1,-1,0,1,2,2,0,11,1,0,1,1,2,4,0,-1,0,0,12,15,1,-1,-1,34,-1,12,1,16,2,60,-1,-1,-1,-1,1,16,2,-1,0,0,0,-12,0,0,0,0,-2,-5,-5,0,-7,-5,0,-2,0,-20,0,-7,0,N
36,5,63,5,3,-1,-1,0,1,2,2,0,11,1,0,1,1,2,5,0,-1,0,0,13,15,1,-1,-1,37,-1,13,1,18,2,63,-1,-1,-1,-1,1,18,2,-1,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,2,0,3,0,2,0,N
36,4,48,7,1,-1,-1,0,1,2,2,0,5,1,0,1,1,2,5,0,-1,0,0,9,15,1,-1,-1,28,-1,9,1,16,2,48,-1,-1,-1,-1,1,14,2,-1,0,0,0,0,0,0,0,0,1,1,0,0,4,1,0,3,0,4,0,2,0,N
36,4,49,4,1,-1,-1,0,1,2,2,0,6,1,0,1,1,2,5,0,-1,0,0,9,15,1,-1,-1,28,-1,9,1,16,2,49,-1,-1,-1,-1,1,14,2,-1,0,0,0,0,0,0,0,0,1,1,0,0,4,1,0,3,0,4,0,2,0,N
79,22,82,4,1,-1,-1,0,2,3,4,0,16,1,0,1,1,4,6,0,-1,0,0,5,42,2,-1,-1,24,-1,5,2,14,3,82,-1,-1,-1,-1,1,11,4,-1,0,0,0,2,0,0,0,0,-3,-8,19,0,-11,-6,0,-3,0,10,0,-9,0,Y
79,73,395,8,5,-1,-1,0,12,17,18,0,62,3,0,3,3,18,27,0,-1,0,0,177,87,12,-1,-1,246,-1,127,12,59,6,395,-1,-1,-1,-1,2,154,18,-1,-5,0,-5,-8,0,0,0,-5,-1,-15,0,-5,-15,-11,-5,1,0,-23,0,-12,-5,Y
64,83,374,2,0,-1,-1,0,9,23,51,0,70,3,0,3,3,54,47,0,-1,0,0,114,93,9,-1,-1,222,-1,101,9,70,15,374,-1,-1,-1,-1,1,148,51,-1,2,0,4,-1,0,0,0,4,0,-18,-11,2,-13,-7,2,1,0,-25,0,-7,4,N
64,29,108,1,1,-1,-1,0,3,8,11,0,25,1,0,1,1,11,21,0,-1,0,0,22,25,3,-1,-1,58,-1,18,3,25,6,108,-1,-1,-1,-1,1,39,11,-1,0,0,1,-1,0,0,0,1,2,7,0,0,12,4,0,4,0,11,0,6,1,N
44,65,401,3,0,-1,-1,0,9,23,51,0,75,3,0,3,3,54,47,0,-1,0,0,118,109,9,-1,-1,229,-1,101,9,73,15,401,-1,-1,-1,-1,1,148,51,-1,0,0,0,5,0,0,0,0,0,4,16,0,7,0,0,3,0,27,0,0,0,Y
44,51,208,7,1,-1,-1,0,15,14,21,0,53,3,0,3,3,23,30,0,-1,0,0,49,32,17,-1,-1,123,-1,49,15,56,7,208,-1,-1,-1,-1,1,79,21,-1,1,2,0,-6,0,0,0,0,-2,-2,4,1,-3,-2,1,-4,0,-5,0,-4,0,N
44,1,368,22,14,-1,-1,0,7,30,38,0,91,1,0,1,1,38,45,0,-1,0,0,63,119,7,-1,-1,162,-1,58,7,66,30,368,-1,-1,-1,-1,1,103,38,-1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,N
44,6,68,5,1,-1,-1,0,1,3,3,0,18,1,0,1,1,3,6,0,-1,0,0,9,23,1,-1,-1,26,-1,9,1,13,3,67,-1,-1,-1,-1,1,15,3,-1,0,1,1,-3,0,0,0,1,1,1,0,0,3,1,0,1,1,0,0,2,1,N
136,1,123,4,0,-1,-1,0,6,8,14,0,21,2,0,2,2,14,16,0,-1,0,0,32,32,6,-1,-1,69,-1,29,6,25,5,122,-1,-1,-1,-1,1,45,14,-1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,N
